variableMetadata	mz	rt
M160.004T56	160.0039116	55.67531715
M161.005T48	161.0045101	47.64559274
M161.033T35	161.0332448	34.89177677
M161.543T143	161.543409	143.0010162
M162.035T35	162.0349967	34.90228225
M162.08T43	162.0802777	42.70201927
M162.533T66	162.5331187	65.8897292
M162.647T66	162.6471692	65.87042011
M163.005T58	163.0052538	58.49616957
M163.022T30	163.0220286	29.71441934
M163.02T143	163.0204903	143.238175
M163.019T92	163.0187132	91.72623413
M163.022T7	163.0219589	6.960776775
M163.022T1415	163.0220145	1414.613958
M163.022T1494	163.0220376	1493.868827
M163.03T66	163.0298402	65.84619915
M163.063T41	163.0629527	41.38491614
M163.135T392	163.1348949	391.890247
M163.137T427	163.1365837	426.5812521
M163.534T66	163.534444	65.92460887
M164.53T66	164.5295695	65.87806005
M165.005T36	165.0050769	35.57592209
M165.035T120	165.0352986	120.4187023
M165.055T35	165.054712	35.14753391
M165.058T69	165.0584351	68.54152825
M165.078T364	165.0782425	364.0357443
M165.116T160	165.116172	159.8872784
M166.057T35	166.0565048	35.41605095
M166.076T61	166.0762129	60.98848676
M166.09T132	166.0902594	131.8921482
M166.206T132	166.2057445	131.6989019
M166.248T131	166.248483	131.22061
M166.277T131	166.2771146	131.21802
M166.329T132	166.3290275	131.5066971
M166.363T131	166.3625775	131.3529484
M167.053T35	167.0528387	34.91278773
M167.075T237	167.0748445	236.7861861
M167.094T132	167.0936861	131.8077587
M167.108T336	167.108073	335.6347618
M167.209T131	167.2092586	131.0466453
M168.096T132	168.0958364	131.5281075
M168.127T114	168.1270531	113.6856181
M169.062T39	169.062489	39.39507877
M169.087T138	169.0873233	138.4854628
M169.124T243	169.12355	243.0068226
M169.541T59	169.5408814	59.04899106
M171.103T303	171.10336	302.7722556
M171.153T633	171.1529582	632.9156839
M171.152T472	171.1523993	472.1917881
M172.031T66	172.0309059	65.8298089
M172.981T1397	172.9813063	1397.46981
M172.981T1495	172.9808524	1494.573122
M172.981T47	172.9808438	46.91676261
M172.981T5	172.9805637	5.370541488
M173.041T154	173.0409046	153.5934877
M173.083T114	173.0827501	113.7992492
M173.965T1478	173.9654033	1478.052809
M173.965T1435	173.9654274	1434.753963
M173.966T1406	173.9658439	1405.891538
M173.965T27	173.9653661	26.75295291
M174.086T114	174.0858765	113.8197935
M174.97T28	174.9704096	27.93100875
M174.97T6	174.9704295	5.552569378
M175.006T58	175.0063542	58.18839193
M175.031T54	175.0314572	53.62912856
M175.123T39	175.1234446	39.02848747
M176.016T42	176.01598	42.41972074
M176.995T50	176.9950754	50.22362505
M177.011T56	177.0110268	55.99691951
M177.059T812	177.0589458	811.8295584
M177.962T45	177.9624217	44.94868577
M177.997T50	177.9969291	50.22792507
M178.043T161	178.0433901	160.6978312
M178.062T812	178.062214	811.7628444
M179.132T161	179.1318095	161.3345979
M180.091T41	180.0906672	41.45700682
M180.103T161	180.1033694	161.4860875
M180.105T75	180.1053343	75.17119435
M180.105T125	180.1049334	125.0894991
M180.106T718	180.1062491	717.9320015
M180.983T1417	180.9828323	1416.584724
M180.983T1488	180.9827599	1487.539848
M180.983T1454	180.9828368	1453.761354
M180.983T1375	180.9826286	1374.755974
M180.983T53	180.983047	52.93899699
M180.983T110	180.9831466	109.5758994
M181.029T1377	181.0291561	1377.495223
M181.03T59	181.0304646	59.13107027
M181.031T121	181.0308409	121.1629005
M181.03T542	181.0297256	542.3264043
M181.032T154	181.0315254	154.0354689
M181.085T158	181.0849736	158.3554552
M181.102T54	181.1021475	53.61196758
M181.108T718	181.1082267	717.9320015
M181.986T52	181.9864089	52.36025346
M182.036T44	182.0357729	44.33217579
M182.061T121	182.0609816	120.6257048
M182.086T69	182.0856027	68.56144544
M182.206T68	182.2061119	68.38464158
M183.047T66	183.0466289	65.81489327
M183.088T69	183.0883161	68.56197443
M184.05T35	184.0495575	35.29711876
M184.171T35	184.1706972	35.01717187
